head,relation,tail,time
Member of the Judiciary (Venezuela),Praise or endorse,Government (Venezuela),2014-04-02
Foreign Affairs (Malaysia),Make statement,Iran,2014-09-08
Protester (Ukraine),"Defy norms, law",Police (Ukraine),2014-01-21
Citizen (Turkey),Use unconventional violence,Nationalist Movement Party,2014-01-27
Amnesty International,Make a visit,Iraq,2014-07-14
Armed Gang (Russia),Make statement,Media Personnel (United States),2014-04-23
Prayuth Chan-ocha,Make a visit,Malaysia,2014-09-09
Afghanistan,Engage in negotiation,Sayed Fazlollah Wahidi,2014-04-18
UN Security Council,Appeal for diplomatic cooperation (such as policy support),Legislature (Lebanon),2014-08-04
Government (Mexico),Make statement,Criminal (Mexico),2014-10-22
Xi Jinping,Make a visit,Tajikistan,2014-11-07
Member of Legislative (Govt) (Azerbaijan),Consider policy option,Iran,2014-02-06
Sheikh Hasina Wajed,Express intent to meet or negotiate,Japan,2014-05-26
Military (Lebanon),Make statement,Armed Band (Lebanon),2014-08-02
Business (Bahrain),Consult,Labor and Employment Ministry (Bahrain),2014-04-05
Afghanistan,Consult,Iran,2014-03-29
Military (South Sudan),Use conventional military force,South Sudan,2014-01-09
Davies Ibiamu Ikanya,Make statement,Chibuike Rotimi Amaechi,2014-01-27
Fumio Kishida,Consult,Ri Su Yong,2014-08-12
Barack Obama,Make statement,Military (Russia),2014-03-28
Prayuth Chan-ocha,Engage in symbolic act,Xi Jinping,2014-12-24
Kim Jong-Un,Make a visit,North Korea,2014-11-15
Benjamin Netanyahu,Praise or endorse,Reuven Rivlin,2014-06-10
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-05-31
Student (Bahrain),Consult,Business (Bahrain),2014-04-08
Government (Nigeria),Provide aid,Citizen (Nigeria),2014-03-14
John Kerry,Make a visit,Angola,2014-05-04
Police (Israel),Investigate,Criminal (Israel),2014-04-24
Chuck Hagel,Consult,Chang Wanquan,2014-04-11
Police (Tanzania),Accuse,Criminal (Tanzania),2014-10-14
Barack Obama,Make a visit,South Korea,2014-02-18
Court Judge (India),Make statement,Medical Personnel (India),2014-07-13
Edgars Rinkevics,Consult,Foreign Affairs (Hungary),2014-07-31
Ministry (South Africa),Praise or endorse,Government (South Africa),2014-11-17
Criminal (Sudan),Sexually assault,Children (Sudan),2014-04-08
Iraq,Host a visit,John Kerry,2014-06-23
Media (India),Consult,Member of Parliament (India),2014-01-10
Frank Bainimarama,Make a visit,New Zealand,2014-08-21
Yogendra Yadav,Criticize or denounce,Minister Patnaik,2014-02-15
Murtala Nyako,Accuse,Government (Nigeria),2014-10-13
Government (Pakistan),Threaten,Imran Khan,2014-08-08
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-01-27
Le Hong Anh,Consult,Xi Jinping,2014-08-28
Citizen (Nigeria),Make empathetic comment,Government (Nigeria),2014-04-15
Citizen (United Kingdom),Bring lawsuit against,Shrien Dewani,2014-12-11
Police (Sudan),"Impose blockade, restrict movement",Sudan,2014-06-06
Haider Al-Abadi,Meet at a 'third' location,Middle East,2014-12-04
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-11-19
Boko Haram,Make pessimistic comment,Citizen (Nigeria),2014-05-22
Tzipi Livni,Consult,Martin Indyk,2014-04-08
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-02-19
China,Consult,Japan,2014-12-28
South Korea,Make an appeal or request,North Korea,2014-12-22
Protester (Vietnam),Demonstrate or rally,China,2014-05-14
Sergey Viktorovich Lavrov,Consult,Sergey Kuzhugetovich Shoygu,2014-03-13
Extremist (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-05-10
Tahirul Qadri,"Protest violently, riot",Government (Pakistan),2014-08-09
Military Personnel (Philippines),Make statement,Military (Philippines),2014-11-18
Police (Australia),Accuse,Citizen (Australia),2014-06-03
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Secretariat (Nigeria),Accuse,Citizen (Nigeria),2014-10-30
Kim Jong-Un,Accuse,South Korea,2014-04-08
Armed Gang (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014-11-29
Canada,Make an appeal or request,Foreign Affairs (Russia),2014-04-09
Citizen (Nigeria),Reduce or break diplomatic relations,Murtala Nyako,2014-07-11
Haider Al-Abadi,Consult,Iran,2014-10-24
Aladdin Boroujerdi,Make statement,Iran,2014-11-11
South Korea,Make an appeal or request,North Korea,2014-10-12
Police (Hong Kong),"Arrest, detain, or charge with legal action",Women (Hong Kong),2014-01-20
Lawmaker (Japan),Engage in negotiation,Iran,2014-12-21
Barack Obama,Demand,Iran,2014-07-17
Other Authorities / Officials (Nigeria),Make statement,Farm Worker (Nigeria),2014-02-27
Afghanistan,Engage in diplomatic cooperation,Iran,2014-04-23
Iran,Consider policy option,Militant (Syria),2014-02-12
Algirdas Butkevičius,Make optimistic comment,Citizen (Lithuania),2014-05-11
Police (Israel),Impose administrative sanctions,"Women (Palestinian Territory, Occupied)",2014-08-15
Military (Thailand),Torture,Activist (Thailand),2014-08-09
Government (Kenya),Refuse to yield,Citizen (Kenya),2014-10-10
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-10-15
Federica Mogherini,Make a visit,Poland,2014-11-06
Commando (India),Express intent to meet or negotiate,Citizen (India),2014-10-15
Thief (India),Use unconventional violence,Men (India),2014-11-30
Imran Khan,Make statement,Tahirul Qadri,2014-09-22
France,Consult,Canada,2014-10-23
Victor Ponta,Engage in negotiation,Klaus Johannis,2014-11-11
Police (Australia),Demand,Citizen (Australia),2014-05-27
Mohammad Javad Zarif,Make statement,Iran,2014-03-10
Police (Indonesia),"Abduct, hijack, or take hostage",Citizen (Indonesia),2014-04-01
Augustine Alegeh,Make statement,Okey Wali,2014-10-14
Benjamin Netanyahu,Cooperate militarily,Police (Israel),2014-11-09
Rights Activist (China),Make statement,China,2014-05-16
Julius Malema,Mobilize or increase armed forces,South Africa,2014-09-24
Aliyu Mohammed Gusau,Make statement,Government (Nigeria),2014-08-11
Police (Philippines),"Arrest, detain, or charge with legal action",Foreign Affairs (Italy),2014-04-07
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-18
Border Security Force,fight with small arms and light weapons,Criminal (Pakistan),2014-01-22
Court Judge (Namibia),Demand,Citizen (Namibia),2014-06-02
North Korea,Host a visit,Kim Jong-Un,2014-06-02
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-02
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-07-25
Ronnie Mamoepa,Express intent to meet or negotiate,Tom Motsoahae Thabane,2014-10-01
Barack Obama,Express intent to meet or negotiate,Pope Francis,2014-01-24
China,Praise or endorse,Iraq,2014-02-23
Citizen (Australia),fight with small arms and light weapons,Police (Australia),2014-11-26
Citizen (South Korea),Ease administrative sanctions,South Korea,2014-07-01
Angela Merkel,Appeal for political reform,France,2014-12-11
Japan,Engage in negotiation,North Korea,2014-03-05
Police (Kenya),Impose administrative sanctions,Citizen (Kenya),2014-05-29
Military Personnel (Libya),Make statement,Legislature (Libya),2014-05-18
Jens Stoltenberg,Host a visit,Ashraf Ghani Ahmadzai,2014-11-06
Raúl Castro,Consult,Barack Obama,2014-12-18
John Kerry,Make statement,Haider Al-Abadi,2014-09-10
Angela Merkel,Express intent to cooperate,Barack Obama,2014-08-29
Antonis Samaras,Express intent to meet or negotiate,Alexis Tsipras,2014-11-19
Nationalist Movement Party,Use conventional military force,Citizen (Turkey),2014-06-18
Police (Australia),Make an appeal or request,Citizen (Australia),2014-07-13
Xi Jinping,Make statement,Military (China),2014-08-31
Hamas,Make statement,Benjamin Netanyahu,2014-08-02
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,North Atlantic Treaty Organization,2014-01-28
Gazprom,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-17
Member of the Judiciary (Swaziland),"Return, release person(s)",Men (Swaziland),2014-04-11
William Ruto,Make statement,Government (Kenya),2014-06-03
John Kerry,Praise or endorse,Japan,2014-07-29
Pakistan Tehreek-e-Insaf,Express intent to meet or negotiate,Government (Pakistan),2014-09-03
Somali National Army,Use conventional military force,Al-Shabaab,2014-10-31
China,Engage in diplomatic cooperation,Myanmar,2014-03-14
Election Commission (India),Investigate,Member of Parliament (India),2014-03-28
Xi Jinping,Consult,Yasuo Fukuda,2014-08-04
Foreign Affairs (Syria),Meet at a 'third' location,Iraq,2014-12-09
Uganda People's Defence Force,"Arrest, detain, or charge with legal action",Al-Shabaab,2014-05-29
North Atlantic Treaty Organization,Consult,John Kerry,2014-12-02
Anupong Paochinda,Make an appeal or request,Governor (Thailand),2014-11-24
Lawyer/Attorney (Kenya),Make statement,Uhuru,2014-02-06
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-24
Royal Administration (Saudi Arabia),Make a visit,France,2014-08-31
Vietnam,Engage in diplomatic cooperation,Thailand,2014-11-05
Angela Merkel,Discuss by telephone,François Hollande,2014-06-21
Al Wefaq National Islamic Society,Consult,Foreign Affairs (United States),2014-07-15
Prayuth Chan-ocha,Consult,Prajin Jantong,2014-01-24
Jean-Yves Le Drian,Express intent to meet or negotiate,France,2014-05-19
Afghanistan,Host a visit,Ashraf Ghani Ahmadzai,2014-12-16
Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2014-09-29
Sergey Viktorovich Lavrov,Consult,Børge Brende,2014-10-25
Citizen (India),Appeal for diplomatic cooperation (such as policy support),Employee (India),2014-10-27
Political Parties (Haiti),Demonstrate for leadership change,Head of Government (Haiti),2014-06-08
Other Authorities / Officials (China),Impose restrictions on political freedoms,China,2014-02-16
Kuwait,Meet at a 'third' location,Oman,2014-12-10
Citizen (United Kingdom),Use unconventional violence,Iraq,2014-10-03
Guatemala,Express intent to cooperate,Mexico,2014-09-09
Barack Obama,Consult,Benjamin Netanyahu,2014-03-02
Lawyer/Attorney (South Korea),"Investigate crime, corruption",Citizen (South Korea),2014-08-18
Human Rights Watch,Criticize or denounce,Other Authorities / Officials (Oman),2014-12-19
Foreign Affairs (Russia),Make an appeal or request,Canada,2014-05-30
China,Criticize or denounce,Kim Jong-Un,2014-06-30
Citizen (Mauritania),Criticize or denounce,Government (Mauritania),2014-03-21
Police (Australia),Accuse,Citizen (Australia),2014-10-12
Catherine Ashton,Engage in negotiation,Mohammad Javad Zarif,2014-07-11
Protester (Hong Kong),Engage in material cooperation,Student (Hong Kong),2014-12-03
Citizen (Thailand),Use unconventional violence,Protester (Thailand),2014-02-01
China,Sign formal agreement,Abdel Fattah Al-Sisi,2014-12-24
"Attacker (Palestinian Territory, Occupied)",fight with small arms and light weapons,Israeli Defense Forces,2014-01-10
Mohammad Javad Zarif,Make statement,Iran,2014-09-29
Envoy (United States),Make statement,Iran,2014-03-05
South Africa,Ease administrative sanctions,Julius Malema,2014-02-28
Iran,Sign formal agreement,Iraq,2014-05-19
Court Judge (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-12
Barack Obama,Express intent to meet or negotiate,Mexico,2014-02-19
China,Consult,Japan,2014-10-27
Lawyer/Attorney (South Korea),Accuse,Citizen (South Korea),2014-06-16
Member of Legislative (Govt) (Iran),Express intent to meet or negotiate,Wael al-Halki,2014-12-23
Member of the Judiciary (South Africa),Make statement,South Africa,2014-08-07
France,Praise or endorse,Military (Lebanon),2014-11-04
Military (Thailand),Mobilize or increase armed forces,Thailand,2014-01-13
Citizen (India),Threaten,Employee (India),2014-07-02
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-02-24
Alex Salmond,Make an appeal or request,Citizen (United Kingdom),2014-04-12
Cabinet / Council of Ministers / Advisors (United States),Sign formal agreement,Benjamin Netanyahu,2014-01-01
Shimon Peres,Consult,Tony Blair,2014-08-01
Abdullah Gül,Engage in diplomatic cooperation,Kuwait,2014-03-31
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-07-03
Cheng Yonghua,Make statement,China,2014-10-16
Xi Jinping,Consult,Barack Obama,2014-07-15
China,Make optimistic comment,Thailand,2014-07-11
Japan,Make a visit,North Korea,2014-09-15
Ashraf Ghani Ahmadzai,Accuse,Abdullah Abdullah,2014-07-03
Yulia Tymoshenko,Make an appeal or request,Elmar Brok,2014-04-18
Xi Jinping,Consult,Head of Government (China),2014-11-10
Human Rights Watch,Appeal to others to meet or negotiate,Barack Obama,2014-04-25
Malaysia,Provide humanitarian aid,Citizen (Malaysia),2014-11-06
Lawyer/Attorney (Colombia),"Arrest, detain, or charge with legal action",Justice Department/Ministery (Colombia),2014-08-26
China,Express intent to meet or negotiate,South Korea,2014-02-20
Party President (Congress Party),Consult,Employee (India),2014-01-19
Police (Australia),Use conventional military force,Citizen (Australia),2014-05-14
Government (Nigeria),Make statement,Medical Personnel (Nigeria),2014-08-06
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-07-20
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-02-21
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-06-26
Canada,Express intent to engage in diplomatic cooperation (such as policy support),Business (Canada),2014-09-16
Viktor Orban,Make an appeal or request,Citizen (Hungary),2014-03-15
Head of Government (Nigeria),Praise or endorse,Government (Nigeria),2014-03-17
Citizen (Nigeria),Engage in symbolic act,Dora Akunyili,2014-08-29
North Korea,Engage in negotiation,Japan,2014-03-31
Sharad Pawar,Make an appeal or request,Citizen (India),2014-05-01
Israeli Defense Forces,"Arrest, detain, or charge with legal action",Children (Israel),2014-05-19
Head of Government (India),Make an appeal or request,Citizen (India),2014-12-29
Nuri al-Maliki,Make statement,Iraq,2014-01-13
Men (India),Use unconventional violence,Women (Denmark),2014-01-15
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-09-29
International Monetary Fund,Provide humanitarian aid,Portugal,2014-05-16
Civic Group (Afghanistan),Make statement,Election Commission (Afghanistan),2014-02-14
Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2014-07-02
Abdel Fattah Al-Sisi,Host a visit,Congress (United States),2014-01-20
Foreign Affairs (United States),Express intent to meet or negotiate,United Arab Emirates,2014-02-09
United Arab Emirates,Engage in diplomatic cooperation,Qatar,2014-11-18
United Democratic Movement,Appeal for change in leadership,Faith Pansy Tlakula,2014-04-25
Behrouz Kamalvandi,Make optimistic comment,Iran,2014-10-06
Xi Jinping,Consult,Barack Obama,2014-03-11
Kathleen Wynne,Make a visit,Canada,2014-05-20
Foreign Affairs (Israel),Consult,Benjamin Netanyahu,2014-07-22
Military (Turkey),Use tactics of violent repression,Protester (Turkey),2014-06-04
Military (South Sudan),Occupy territory,South Sudan,2014-01-21
North Korea,"Return, release person(s)",Jeffrey Fowle,2014-10-23
Imran Khan,Consult,Tahirul Qadri,2014-08-29
Victor Ponta,Make statement,Romania,2014-10-12
Citizen (Thailand),Demand humanitarian aid,Military (Thailand),2014-12-06
John Kerry,Make a visit,South Korea,2014-05-26
South Korea,Express intent to cooperate,China,2014-04-12
Police (Cote d'Ivoire),Reject,Citizen (Cote d'Ivoire),2014-09-11
William Ruto,Threaten non-force,Citizen (Kenya),2014-10-27
Jakaya Mrisho Kikwete,Make statement,Tanzania,2014-08-05
Jens Stoltenberg,Consult,Mevlut Cavusoglu,2014-10-10
Government (Pakistan),Consult,Tehrik-i-Taliban Pakistan,2014-04-24
Barack Obama,Express intent to cooperate economically,Vietnam,2014-02-24
Other Authorities / Officials (Mexico),Make statement,Criminal (Mexico),2014-10-14
Barack Obama,Express intent to cooperate,Angela Merkel,2014-03-08
France,Sign formal agreement,Iran,2014-03-03
Protester (Thailand),Impose restrictions on political freedoms,Thailand,2014-01-26
Armenia,Host a visit,Seyran Ohanyan,2014-12-11
Foreign Affairs (United States),Sign formal agreement,Julie Bishop,2014-08-26
Armed Gang (Afghanistan),"Conduct suicide, car, or other non-military bombing",Afghanistan,2014-12-18
Umar al Bashir,Consult,Abdel Fattah Al-Sisi,2014-10-19
Phongthep Thepkanjana,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2014-05-09
Raheel Sharif,Make a visit,Afghanistan,2014-12-18
High Ranking Military Personnel (Malaysia),Consult,Police (Malaysia),2014-02-14
Military Personnel (Yemen),Praise or endorse,Governor (Yemen),2014-04-12
Citizen (Yemen),Accuse,Armed Rebel (Yemen),2014-02-06
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-05-12
China,Consult,Malaysia,2014-05-06
Barack Obama,Make a visit,Malaysia,2014-04-25
Iraq,"Arrest, detain, or charge with legal action",Militant (Iraq),2014-05-06
Ministry (Nigeria),Make statement,Media (Africa),2014-06-26
Police (Kenya),"Return, release person(s)",Men (Kenya),2014-11-11
Villager (India),Criticize or denounce,Citizen (India),2014-03-14
Foreign Affairs (Argentina),Consult,Foreign Affairs (United States),2014-09-19
France,Sign formal agreement,China,2014-04-29
Myanmar,Host a visit,Association of Southeast Asian Nations,2014-11-15
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai,2014-07-16
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-06-17
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-09-17
Fumio Kishida,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry,2014-08-09
Sergey Viktorovich Lavrov,Make statement,RIA Novosti,2014-09-17
Japan,Make a visit,China,2014-05-29
Oman,Consult,Kuwait,2014-07-11
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-04-04
Ministry (Croatia),Make an appeal or request,Veterans (Croatia),2014-12-19
Iran,Praise or endorse,Hamas,2014-08-09
Government Official (Thailand),Make statement,Thailand,2014-03-06
North Korea,fight with small arms and light weapons,South Korea,2014-07-14
Ministry (Nigeria),"Demand meeting, negotiation",Citizen (Nigeria),2014-03-21
Antonis Samaras,Consult,Dimitrios Avramopoulos,2014-07-14
Citizen (Greece),Criticize or denounce,Alexis Tsipras,2014-09-17
Ashraf Ghani Ahmadzai,Consult,Mamnoon Hussain,2014-11-15
Court Judge (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2014-07-05
Cabinet / Council of Ministers / Advisors (Angola),Make statement,Angola,2014-06-17
Umar al Bashir,Make statement,Sudan,2014-04-02
Mauricio Domogan,Make statement,Philippines,2014-08-15
Barack Obama,Discuss by telephone,Mexico,2014-06-20
Ministry (Nigeria),Make statement,Government (Nigeria),2014-04-14
Citizen (Kenya),Accuse,Government (Kenya),2014-11-24
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-02-04
Amr Mohammed Moussa,Consult,Abdel Fattah Al-Sisi,2014-02-12
Communist Party of India,Accuse,Employee (India),2014-05-15
Angela Merkel,Make statement,Madeleine Albright,2014-03-07
Police (Kenya),Reject,Citizen (Kenya),2014-02-11
France,Criticize or denounce,François Hollande,2014-01-06
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-03-13
Farm Worker (Nigeria),Make an appeal or request,Government (Nigeria),2014-10-27
Angela Merkel,Demand,Yulia Tymoshenko,2014-02-23
Sudan,Consult,Representatives (Sudan),2014-09-02
Boko Haram,Use conventional military force,Military Personnel - Special (Nigeria),2014-05-28
China,Express intent to provide material aid,Sierra Leone,2014-09-29
North Korea,Deny responsibility,South Korea,2014-04-25
Thief (India),fight with small arms and light weapons,Citizen (India),2014-06-15
Governor (Kenya),Make statement,Government (Kenya),2014-03-17
Lawyer/Attorney (Turkey),Make an appeal or request,Other Authorities / Officials (Turkey),2014-12-12
Chuck Hagel,Make statement,Iraq,2014-11-14
Tony Blair,Express intent to meet or negotiate,Guinea,2014-11-13
Chibuike Rotimi Amaechi,Make an appeal or request,Citizen (Nigeria),2014-06-30
Militant (Iraq),Occupy territory,Iraq,2014-08-15
Foreign Affairs (Russia),Host a visit,Foreign Affairs (United States),2014-09-08
North Korea,Reject,Japan,2014-06-04
Caroline Kennedy,Appeal for diplomatic cooperation (such as policy support),Japan,2014-03-07
Party Member (Iraq),Make statement,National Alliance (Iraq),2014-07-25
Tajikistan,Host a visit,Xi Jinping,2014-09-12
Qatar,Host a visit,Head of Government (Gambia),2014-11-19
Mohammad Javad Zarif,Make statement,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Iran,"Express intent to change institutions, regime",Iraq,2014-08-06
Military (Lebanon),Use conventional military force,Militant (Syria),2014-08-04
Government (Nigeria),Accuse,Chibuike Rotimi Amaechi,2014-01-09
Government (Nigeria),"Arrest, detain, or charge with legal action",Militant (Boko Haram),2014-07-14
Klaus Johannis,Consult,Victor Ponta,2014-12-29
China,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2014-05-30
Cabinet / Council of Ministers / Advisors (United States),Consult,Foreign Affairs (Russia),2014-03-15
Envoy (United States),Consult,Riek Machar,2014-01-12
Justice Department/Ministery (Thailand),Make statement,Protester (Thailand),2014-01-07
Reserve Personnel (Japan),Threaten,Reserve Personnel (China),2014-02-16
